t,payload.p_x,payload.p_y,payload.p_z,payload.q_w,payload.q_x,payload.q_y,payload.q_z,payload.v_x,payload.v_y,payload.v_z,payload.w_x,payload.w_y,payload.w_z,payload.F_x,payload.F_y,payload.F_z,payload.T_x,payload.T_y,payload.T_z,canopy.p_x,canopy.p_y,canopy.p_z,canopy.q_w,canopy.q_x,canopy.q_y,canopy.q_z,canopy.v_x,canopy.v_y,canopy.v_z,canopy.w_x,canopy.w_y,canopy.w_z,canopy.F_x,canopy.F_y,canopy.F_z,canopy.T_x,canopy.T_y,canopy.T_z
0.01,0.0,0.0,199.999019,1.0,0.0,0.0,0.0,0.0,0.0,-0.0981,0.0,0.0,0.0,0.0,0.0,-98.10000000000001,0.0,0.0,0.0,0.0,0.0,204.999019,1.0,0.0,0.0,0.0,0.0,0.0,-0.0981,0.0,0.0,0.0,0.0,0.0,-19.62,0.0,0.0,0.0
0.02,0.0,0.0,199.99705700221043,1.0,0.0,0.0,0.0,0.0,0.0,-0.19619977895770785,0.0,0.0,0.0,0.0,0.0,-98.09973474924938,0.0,0.0,0.0,0.0,0.0,204.99705700221043,1.0,0.0,0.0,0.0,0.0,0.0,-0.19619977895770785,0.0,0.0,0.0,0.0,0.0,-19.62,0.0,0.0,0.0
0.03,0.0,0.0,199.99411401326253,1.0,0.0,0.0,0.0,0.0,0.0,-0.29429889479053134,0.0,0.0,0.0,0.0,0.0,-98.0989389993882,0.0,0.0,0.0,0.0,0.0,204.99411401326253,1.0,0.0,0.0,0.0,0.0,0.0,-0.29429889479053134,0.0,0.0,0.0,0.0,0.0,-19.62,0.0,0.0,0.0
0.04,0.0,0.0,199.99019004420828,1.0,0.0,0.0,0.0,0.0,0.0,-0.3923969054248434,0.0,0.0,0.0,0.0,0.0,-98.09761276117447,0.0,0.0,0.0,0.0,0.0,204.99019004420828,1.0,0.0,0.0,0.0,0.0,0.0,-0.3923969054248434,0.0,0.0,0.0,0.0,0.0,-19.62,0.0,0.0,0.0
0.05,0.0,0.0,199.98528511052024,1.0,0.0,0.0,0.0,0.0,0.0,-0.4904933688039506,0.0,0.0,0.0,0.0,0.0,-98.09575605492866,0.0,0.0,0.0,0.0,0.0,204.98528511052024,1.0,0.0,0.0,0.0,0.0,0.0,-0.4904933688039506,0.0,0.0,0.0,0.0,0.0,-19.62,0.0,0.0,0.0
0.060000000000000005,0.0,0.0,199.97939923209128,1.0,0.0,0.0,0.0,0.0,0.0,-0.5885878428960614,0.0,0.0,0.0,0.0,0.0,-98.09336891053283,0.0,0.0,0.0,0.0,0.0,204.97939923209128,1.0,0.0,0.0,0.0,0.0,0.0,-0.5885878428960614,0.0,0.0,0.0,0.0,0.0,-19.62,0.0,0.0,0.0
0.07,0.0,0.0,199.97253243323425,1.0,0.0,0.0,0.0,0.0,0.0,-0.6866798857022529,0.0,0.0,0.0,0.0,0.0,-98.09045136742982,0.0,0.0,0.0,0.0,0.0,204.97253243323425,1.0,0.0,0.0,0.0,0.0,0.0,-0.6866798857022529,0.0,0.0,0.0,0.0,0.0,-19.62,0.0,0.0,0.0
0.08,0.0,0.0,199.9646847426816,1.0,0.0,0.0,0.0,0.0,0.0,-0.7847690552644376,0.0,0.0,0.0,0.0,0.0,-98.08700347462165,0.0,0.0,0.0,0.0,0.0,204.9646847426816,1.0,0.0,0.0,0.0,0.0,0.0,-0.7847690552644376,0.0,0.0,0.0,0.0,0.0,-19.62,0.0,0.0,0.0
0.09,0.0,0.0,199.95585619358488,1.0,0.0,0.0,0.0,0.0,0.0,-0.8828549096733275,0.0,0.0,0.0,0.0,0.0,-98.08302529066786,0.0,0.0,0.0,0.0,0.0,204.95585619358488,1.0,0.0,0.0,0.0,0.0,0.0,-0.8828549096733275,0.0,0.0,0.0,0.0,0.0,-19.62,0.0,0.0,0.0
0.09999999999999999,0.0,0.0,199.9460468235141,1.0,0.0,0.0,0.0,0.0,0.0,-0.980937007076397,0.0,0.0,0.0,0.0,0.0,-98.07851688368335,0.0,0.0,0.0,0.0,0.0,204.9460468235141,1.0,0.0,0.0,0.0,0.0,0.0,-0.980937007076397,0.0,0.0,0.0,0.0,0.0,-19.62,0.0,0.0,0.0
0.10999999999999999,0.0,0.0,199.93525667445726,1.0,0.0,0.0,0.0,0.0,0.0,-1.0790149056858436,0.0,0.0,0.0,0.0,0.0,-98.07347833133583,0.0,0.0,0.0,0.0,0.0,204.93525667445726,1.0,0.0,0.0,0.0,0.0,0.0,-1.0790149056858436,0.0,0.0,0.0,0.0,0.0,-19.62,0.0,0.0,0.0
