Differential Pressure Lb/Ft2;Air Permeability CFM/Ft2;Differential Pressure Pa;Air Permeability m/s
2,111849874;156,8064405;101,115372;0,796576718
2,581142686;177,8383291;123,5851118;0,903418712
3,050446238;202,7299875;146,0553659;1,029868336
3,754396196;225,8243365;179,7604899;1,147187629
4,341017581;245,8009842;207,8479218;1,248669
5,162296113;273,8018428;247,1707379;1,390913362
6,21822105;300,3280293;297,7284239;1,525666389
8,56471733;352,1758057;410,0786657;1,789053093
10,6765672;406,6584634;511,1940377;2,065824994
13,25772063;456,4878152;634,7796638;2,318958101
15,25224193;503,2916653;730,2773437;2,55672166
17,71606679;554,8944605;848,2452777;2,818863859
20,41454879;603,9809818;977,4485959;3,068223388
23,5823236;654,0410196;1129,121654;3,32252838
25,92881988;695,6294927;1241,471896;3,533797823
29,56589824;751,3533656;1415,615208;3,816875097
32,85099089;805,3114254;1572,905444;4,090982041
36,37074068;856,5187221;1741,431064;4,351115108
39,77317263;901,6702933;1904,339506;4,58048509
43,87954381;963,9440133;2100,952558;4,896835587
46,92999005;1009,558664;2247,007924;5,128558012
49,3938149;1046,523799;2364,975858;5,316340901
55,14274314;1121,679374;2640,234542;5,698131219
61,24364636;1205,324361;2932,345788;6,123047753
67,69651381;1281,96726;3241,309081;6,512393679
73,9147456;1346,084301;3539,03802;6,838108249
79,89832025;1417,043095;3825,531574;7,198578924
87,52445196;1507,148543;4190,67076;7,656314596
94,32929439;1574,418858;4516,486615;7,998047799
98,55299414;1615,383649;4718,717359;8,206148935
104,7712259;1678,838064;5016,446298;8,528497364
110,8721184;1735,84476;5308,557029;8,818091382
116,9730109;1794,786967;5600,667761;9,117517794
123,3085605;1860,503569;5904,013877;9,451358129
131,1693494;1943,545362;6280,388447;9,873210439
142,4325487;2045,999539;6819,670431;10,39367766
148,7680983;2099,234383;7123,016547;10,66411067
158,6233977;2181,695098;7594,888283;11,0830111
166,6014829;2249,989833;7976,879003;11,42994835
173,0543719;2296,703361;8285,843325;11,66725307
179,6245572;2356,461265;8600,423797;11,97082323
189,9491709;2442,74372;9094,766301;12,4091381
197,9272561;2525,689333;9476,757021;12,83050181
204,380145;2591,405526;9785,721343;13,16434007
214,9393944;2672,525639;10291,2982;13,57643025
222,9174796;2756,185098;10673,28892;14,0014203
228,5490792;2791,811259;10942,92991;14,1824012
234,4153361;2849,7739;11223,80629;14,47685141
