Differential Pressure Lb/Ft2;Air Permeability CFM/Ft2;Differential Pressure Pa;Air Permeability m/s
2,111849874;156,8064405;101,115372;0,796576718
2,581142686;177,8383291;123,5851118;0,903418712
3,050446238;202,7299875;146,0553659;1,029868336
3,754396196;225,8243365;179,7604899;1,147187629
4,341017581;245,8009842;207,8479218;1,248669
5,162296113;273,8018428;247,1707379;1,390913362
6,21822105;300,3280293;297,7284239;1,525666389
8,56471733;352,1758057;410,0786657;1,789053093
10,6765672;406,6584634;511,1940377;2,065824994
13,25772063;456,4878152;634,7796638;2,318958101
15,25224193;503,2916653;730,2773437;2,55672166
17,71606679;554,8944605;848,2452777;2,818863859
20,41454879;603,9809818;977,4485959;3,068223388
23,5823236;654,0410196;1129,121654;3,32252838
25,92881988;695,6294927;1241,471896;3,533797823

